name_of_drug,use_case_for_drug,review_by_patient
Klonopin,Anxiety,"""This is the drug that was a total game changer for me. I was on effexor and abilify because of severe depression and suicidal ideation (at only 19 :(). While the abilify and effexor helped with the depression, I was extremely anxious, jumpy, panicky, and unable to sleep at all. Klonopin changed all that. I am now able to do anything with no anxiety, no intrusive thoughts, and am visibly much less tense and more relaxed than I have ever been. I can go to work, take public transport, and interact with customers with absolutely NO anxiety anymore. If you sound like me, I highly suggest at least giving this medication a try. It saved my life."""
Bisacodyl,Bowel Preparation,"""Had a little stomach cramping and nausea just as with any other laxatives I&#039;ve taken.  I&#039;m very satisfied though because it really cleaned me out.  Exactly what I wanted!!!.  Thank you!!!"""
Mirtazapine,Obsessive Compulsive Disorde,"""I tried this after Citalopram quit on me after about 5 years. What an awful drug for me. It did little for my anxiety and OCD. Some OCD symptoms actually worsened and weaning off it caused extreme anxiety to the point of panic attacks. I&#039;m finally off it after the final rude downshift and am trying Zoloft with good redults so far. Good riddance to bad rubbish."""
Suvorexant,Insomnia,"""Nothing at all. I am writing this after taking 15 mg dosage. Was on Ambien generic 6.25 mg and it worked great. Then my pharmacy started using a different Ambien generic that had no effect whatsoever. Instead of just changing to the name brand my doctor gave me samples of Lunesta. I am having the same results as the 2nd Ambien generic. Calling doctor in the AM and requesting something else."""
Clonazepam,Bipolar Disorde,"""I have bipolar 2 with rapid mood cycling occasional suicidal ideations.  After taking citalopram for 12 years for what doc thought was regular depression, I went off that and now searching for mood stabilizer for bipolar moods. 
 Clonazapam 0.5 2x daily helped stabilize my anxiety after all of this and Ativan 0.5 as needed for panic attacks.  Clonazapam is great because it stays in your system much longer than Ativan.  Overall, Clonazapam is a life saver for me (especially at time with PMS moods!)  Still searching for a good mood stabilizer bc I still have &#039;bad&#039; days though but always stay POSITIVE THIS TOO SHALL PASS keep going to your doc and psych!  Peace."""
Phentermine,Weight Loss,"""I have to agree with everyone here. I was prescribed this medication years ago and I lost 2 sizes, got down to a size 10/12 and kept it off for 2 years until I got pregnant with my son. My only side effects were dry mouth, not always wanting to sleep (because I took them too late sometimes) and extreme energy! It was the best medication for weight loss I&#039;ve ever used and now I&#039;m looking to lose the weight again. Although just a note to everyone, if you are going to do something like Ionamin, it&#039;s best to exercise with it...that helps to keep it off. I&#039;m going to see my doctor/nutritionist next month!"""
Medroxyprogesterone,Abnormal Uterine Bleeding,"""I have been on the depo shot since I had my daughter which was 3 years ago. For the first few months I had spotting but that stopped. I still get PMS-like symptoms around the time I would usually get my period. I have gained 15 pounds while on depo. I have been getting bad migranes &amp; terrible aches in my body and I&#039;m not sure if it&#039;s because of the shot. I would definitely recommend this shot. There is nothing to remember every day, just show up to the doctor once every 3 months!"""
Ethinyl estradiol / norgestimate,Birth Control,"""I was switched to this from Loryna (generic Yaz) two months ago. I&#039;ve been on some form of BC since age 19 to control horrible cramps and prevent ovarian cysts, and I&#039;m 27 now. Hoped this pill would lessen the ovarian tenderness and stop the weight gain (40 lbs in one year!) I had while on Loryna. Well, I&#039;m horribly gassy and have had diarrhea every day for going on three weeks now of my 2nd pack. It&#039;s clearing up my acne and sex drive is better by a smidge, but my period is a lot longer and heavier, rather than shorter and lighter like it was on Loryna. Cramps are much worse, too, and I feel tired all the time. The crazy appetite increase Loryna gave me hasn&#039;t changed, either. Calling my gyno today to see if I can switch."""
Miconazole,Vaginal Yeast Infection,"""I&#039;ve had my fair share of YIs, and I&#039;ve always used monistat without any major problems but I was on some antibiotics for a few days and as soon as I left the doctor I had this horrible gut feeling that I should&#039;ve asked for a script for diflucan while I was there. I was so uncomfortable and I dished out almost $20 on monistat to basically torture myself. Made my &#039;uncomfortable&#039; YI a living nightmare. Burning, pain, and excruciating swelling. Sitting hurts, wiping myself after peeing hurts, walking hurts. Got my hands on diflucan but now I&#039;m sitting here playing the waiting game wondering why I couldn&#039;t just wait a few more hours instead or why I didn&#039;t google it before I bought it. Didn&#039;t even know a YI could be this painful. Awful"""
Oxycodone,Pain,"""I&#039;ve been on Roxicodone for about two years now and this is the ONLY short acting medication that has worked.  I have been through all the short acting or break through medicines and Roxicodone is by far the greatest.  I am on high doses due to having gastric bypass and not absorbing as a &#039;normal&#039; person would.  I need to have my tailbone removed as it&#039;s broken and swinging around back there.  Not to mention it&#039;s broken at a 90 degree angle or angulated.  INSANE pain. """
Norethindrone,Birth Control,"""I started using Lyza and it has being 2 months. THANK YOU FOR THIS BIRTH CONTROL! I am 23 and its my first time using birth control. I was really scared to get on any kind of birth control but after two babies, it was time to think of it and to take it seriously! I went to my OBGYN and she recommended this pill and it is going pretty well. I get a little bloated after I take it but drinking lots of water makes it a lot better."""
Oxycodone,Chronic Pain,"""I have to laugh when I read some of these comments . Why do I itch ? Because you are taken too much ! Listen I take 7 pills a day of oxycotin 80 mgs and 15 pills a day of roxy 30mgs because a doctor years ago decided it would be the best thing for me and it was the worst thing he ever did to me . I take over 210 80s a month and 450 30s that&#039;s is 660 pills a month yes one month !  I would tell anyone do not take these meds I am so addicted to these now and now with Obama and the DEA against them doctors are being told to take ppl off them well that&#039;s great now I deal with the withdrawal and it&#039;s terrible please please please if you really need the meds take them with caution they become so so addictive doesn&#039;t matter who you are"""
Levonorgestrel,Emergency Contraception,"""I promised myself I will leave a feedback here if the pill works! Here I am, on the first day of my period! I would say this pill really made me emotional unstable. I freaked out, cried and worried a lot after I took the pill. So I started to look for more information online, and it didn&#039;t help at all. Do NOT search for more information! Just relax, try not to think about it and the pill will do its work!! I was so close to my ovulation day which is why I was so worried! I&#039;m so happy the pill worked! Good luck everyone!"""
Propranolol,Anxiety,"""I&#039;m 26 year old male, I used to lead a party animal life i.e. Alcohol, etc. I thought I was invincible through my teens then after 16 years abuse I woke up one morning and felt like I was having a heart attack flared up in the face, tingling down my arms, lack of breath, confusion, hot and cold sweats happened quite often on a daily basis so I went into hospital, did an ECG on my heart then the doctor said you are having panic/anxiety attacks. The flashbacks of my past triggered it. I&#039;ve been put on 80mg slow release beta blocker they work great for me never had a panic attack since. """
Fluticasone / salmeterol,"Asthma, Maintenance","""I&#039;ve been on Adviar for more than 2 years and have had no problems with it.  My asthma developed because of my newly discovered allergy to cats and it has allowed me to keep my pets without any breathing issues.  It did give me some heartburn at first but, since I was overweight, I lost 20 pounds and that seemed to do resolve the heartburn issue."""
Toradol,Pain,"""Presented with sever pain in my left rib cage. This pain started after I bent over to pick up something out of the ocean. Felt a pop which caused sever pain under my left rib cage. Breathing, moving, walking, getting up and down all caused sever pain that made me cry out. On the forth day I finally went to see if a th was broken. The Doctor ordered X-rays and gave me a shot of Toradol in the hip.  Also gave me a script for Percoset which I have not taken yet. Within an hour I had some relief from the pain and was able to breath with only moderate pain. It is now 8 hours later and I still have only a little pain.  So thankful for this medication."""
Levonorgestrel,Birth Control,"""All bodies are different! I had Skyla inserted last month on the 18th and its been about three weeks with it in. The insertion was definitely painful but nothing that can&#039;t be handled in the 5-10 minutes the procedure takes. I had read a lot of scare stories previous to going. I unfortunately had mine inserted a week before my period. The cervix softens during your period which is the recommended time to have it done. I spotted with little to no cramping for the first 2- 3 days and got my period a couple days later as well. I had some pretty severe cramps on and off the first day or so into my period. It almost feels as though your body is trying to contract it out. My period lasted a little longer but has stopped with no spotting at all."""
Seroquel XR,Bipolar Disorde,"""Been on Quetiapine MR for around 9 months. 300mg at night. Found it far less sedating than Olanzapine. Its been a miracle for my Bipolar, absolutely no depression and no manic episodes. Yeah I put on weight but the effects on my mood and mental health have been incredible."""
Amoxicillin / clavulanate,Skin or Soft Tissue Infection,"""I have adult acne and rosacea due to pcos. I have redness, welt type acne, rash type scne, black/white heads on my face. When taking Augmentin, all my skin problems dissappear within 2-5 days and my face stays clear while taking the prescription. Augmentin is a Godsend."""
Levofloxacin,Sinusitis,"""I found this to be a wonderful medicine for my sinusitis. I was on Augmentin for 2 weeks and didn&#039;t completely take away the infection. The Levaquin stopped the infection in 3 days. I have used a number of times and luckily have had none of the problems others have had."""
Aldactone,Heart Failure,"""Didn&#039;t work for me. Muscle aches, itch and most importantly it dropped my blood pressure too low along with the other medication I am taking..pressure was 87/54 ...normally I am 130/70. I was exhausted, tired, weak and constantly falling asleep. This medication was not for me. Called doctor he told me to stop taking it, and this was at 1/2 pill dosage."""
Polyethylene glycol 3350 with electrolytes,Bowel Preparation,"""Prescribed to me for my 50 year colonoscopy.  Did not add any ingredients just the water mix and chilled in the freezer. Taste was like a flat Sierra Mist diluted with cucumber water. First four glasses I  downed no problem. I had three more after that which I paced myself outside of the 8oz every 17 minutes. Finished the whole four liters in three hours roughly, two hours after starting was when the first void hit and afterwards approximately every 15 mins or so until all was clear. No cramping or serious discomfort associated with it, just mild abdominal gurgling and fluidic voids."""
Oxycodone,Pain,"""I had three surgeries in 3 weeks and oxy really kept the pain under control. I have since run out and the Dr. doesn&#039;t want to refill so I&#039;m now suffering along with only Tylenol. :)"""
Tetrahydrozoline / zinc sulfate,Eye Redness/Itching,"""I was working on water coolers, some of the liquid got my eyes. I went to Walmart and bought this product, and it worked great. it got rid of the itching and burning, I was lucky it save me a visit to the doctor."""
Valdecoxib,Pain,"""I was in agony for 11 days after my doctor prescribed a muscle relaxer for intense lower back pain. A friend gave me sample packs of Bextra and the pain was gone within a half day of taking Bextra."""
Mirtazapine,Depression,"""I&#039;ve been suffering from depression since I was in my teens. However, I&#039;ve just been diagnosed with it 1 month ago. I had been having major panic attacks and anxiety issues, so much to the stage I thought people were following me. The doctor prescribed me Mirtazapine which I was rather anxious about taking, due to reviews online. The first night I took it I went to bed and became really twitchy and restless through the night, I had spells where I woke up during the night. After the first night I had the best sleep ever, I slept till late which was rare, I have had a better outlook on life, I still have my low days and times where I don&#039;t want to get out of bed and times where I just want to run away. The doctor has now upped my dose to 30mg"""
Nitrofurantoin,Bladder Infection,"""Only negative experiences I&#039;ve had with this medication are drowsiness (not really an issue if only taking at night as a preventative )and one time I forgot about the avoid alcohol thing and had one drink. I got the worst indigestion and nausea ever and it lasted for days. Otherwise a great medication that gets rid of the urinary tract infection as a treatment and has been wonderful as a prophylaxis to keep UTI&#039;s at bay."""
Reclast,Osteoporosis,"""Received dose at 11am, by 10pm that night I had fever,chills, severe pain in back. I was extremely ill for 3 days, such a severe headache I couldn&#039;t open my eyes. A week later my hands suddenly swelled to the point I could not use them. Now nearly 3 months later I am in physical therapy to try to regain the strength in my legs. Other side effects were less severe, such as jaw pain for a few weeks. I would never ever take this medicine again."""
Morphine,Chronic Pain,"""Kind of useless on the pain I&#039;m in, was on it for 7 months, 4x a day   2x30mg ER and 2x30mg IR and I was still in pain and coming off it was a process. I never once took it other than prescribed and there is no doubt in my mind I was physically addicted to it. I weaned myself off for months to the point I was taking 1/4 a pill right when I laid down just so it did not feel like my skin was crawling as I tried to sleep. This is an addictive and useless pill for sciatica issues in my experience."""
Drospirenone / ethinyl estradiol,Birth Control,"""This is the absolute worst birth control you could possibly take. I was on Ocella for one month before I had to switch pharmacies due to my new insurance and Ocella was fine. Once I started on Zarah, I had constant anxiety/palpitations. It got so bad to the point that I was seeing my doctor and thinking that I had a heart problem (had an echo done, normal). This birth control literally made me feel like I was going crazy and that I had all kinds of health problems. It made my left hand tingle, and I was also constantly exhausted to the point where I was almost sleeping 20 hours a day. OH and my blood pressure sky rocketed. Went off this birth control and got the Skyla IUD. I didn&#039;t get pregnant on this BC which is literally THE only good thing"""
Brimonidine,Rosacea,"""Tried a sample from my dermatologist. Worked wonders on the redness on one cheek. My insurance doesn&#039;t cover it and it is really expensive. If I could buy a 50 gm tube for $200 I would do it ASAP."""
Buprenorphine / naloxone,Opiate Dependence,"""I had it all. Everything people dream of was mine but I lost it all when I started doing Roxy&#039;s. Once was all it took for me to take many oxycodone 30s as I could get my hands on for 3 years. I tried to stop by myself, went to rehab, meetings, counseling, everything. During these 3 years I went from being a loving daughter, sister and friend to a monster. I have been on Suboxone since 4/20/11 and that was the day my life changed. I feel like a normal person again. There is a price to my happiness though I have headaches, am tired very often and experience extreme constipation from the Suboxone. If that&#039;s all I have to go through to be the person I am now than that&#039;s fine. Suboxone literally saved my life."""
Alprostadil,Erectile Dysfunction,"""After having my prostrate removed, I could not get an erection.  Viagra and Cialis did not work.  The next step was injections, which the Dr. recommended Edex.  The injection was painless and I had a great erection.  I had an erection for 6 hours, which I have to tell you, it is not a pleasure, but after reducing the dose in half it&#039;s much better.  I highly recommend Edex.  The Dr. gave me an Edex card, which took care of the co-pay and ended up costing me nothing."""
Klonopin,Anxiety,"""Klonopin has made me the woman I was prior to menopause. I am so very grateful. I could no longer stand the sleepless nights, horrific night and day sweats, constipation, anger attacks, anxiety attacks and bouts of depression. A friend told me about Klonopin. It works without causing any side effects. I pray it continues as I honestly wished to just not exist any longer. I am once again functioning daily, interacting with family and feeling normal/rested/happy each day."""
Pramipexole,Restless Legs Syndrome,"""I&#039;ve dealt with 10+ years of restless legs and arms to the point I&#039;d be in tears and have actually fallen out of my king sized bed.  After trials of numerous medications (Ambien, Lunesta, leviteracetam, tranquilizers, mega vitamins) and months of little to no sleep I went begging for help to my GP.  i was desperate at that point.  With nothing else to try he sent me to a neurologist who specialized in sleep disorders and RLS.  She started me on melatonin 1 mg at 6 pm, 5 mg at sleep along with pramipexole 0.25 mg in late afternoon if needed and 0.5 mg at 9 PM. WOW. Within one week I was getting far more sleep than I&#039;ve seen in at least 2 years."""
Deplin,Depression,"""In 28 years, after dozens of antidepressants, add on&#039;s, ECT&#039;s...I&#039;ve never felt so full of life. Ever. An absolute miracle this was. I was absolutely lifeless. I feel sorrow for having gone so long miserable, but blessed to have been lucky enough to have a doctor try this with me."""
Levaquin,Pneumonia,"""Took Cipro for a pseudomonas infection and then five months later took Levaquin. Joint and tendon pain just kept getting worse and I&#039;m still suffering from these side effects two months after discontinuing. """
Celexa,Anxiety and Stress,"""Took this for about a year and it was highly effective. Boosted my mood and rid of most my anxiety in just a week of starting it. Only thing was it made me sick at first but I switched to taking it at night and I was fine! I&#039;d recommend Celexa over anything."""
Diltiazem,Atrial Fibrillation,"""Side effects....hoarseness. No appetite..fatigue...stomach upset.  Have been on metropolol which caused shortness of breath.  Still trying to find something without so many side effects.  """
Harvoni,Hepatitis C,"""Im female, 60 &amp; petite - type 1b, F3 - 500,000+ and into 3rd week (started Aug 18th) of 12 for Harvoni.  No other meds and just a one-a-day multi.. So far so good and I did notice some minor things in the first 2 weeks but it has gotten easier.  Within the first few day&#039;s my energy increased, my eyes became whiter and what felt like a film over my eyes for years, vanished.  I hadn&#039;t associated that with Hep C before.  My skin seems a little dryer but really.. its been easier than I thought.  I drink lots of water and other fluids throughout the day and that seems to help reduce any side effects.  I do feel a little like a lab rat though but will remain cautiously optamistic going forward."""
Etonogestrel,Birth Control,"""Implanted June 2013. Experienced no pain inserting. My arm was numb for a few days from Lidoderm. I spotted for about a month and a half, which I expected. It&#039;s been 8 months now, and I seriously only bleed once every few months. I&#039;m surprised to see so many reviews of non stop bleeding. I&#039;ve had nothing like that. 
My only side effects I notice are acne and night sweats. No mood swings or emotional thoughts.
Love this birth control!"""
Blephamide,"Conjunctivitis, Bacterial","""This was a wonder drug for me.  I live outdoors a lot, and I sweat a lot, and so I get bacterial conjunctivitis about once every 3 months.  If I apply just a couple drops when I feel my eyes first getting itchy, this stuff makes it go away overnight.  A couple more in the morning and I am good to go for the next 3 months.  If, however, the eyes get red before you realize you have the conjunctivitis, then it might take multiple applications to make it go away, but it will in a matter of a couple days.  Very good stuff.  High priced, but not so much that its unaffordable."""
Ethinyl estradiol / levonorgestrel,Endometriosis,"""When I was 22 I found out I had endometriosis and my doctor recommended this to regulate my periods.  I was giving samples since I didn&#039;t have any insurance I took it for two years until they no longer had anymore sample and I still didn&#039;t have any insurance and was unable to pay for it. I absolutely loved being on this it was so nice having a period that only lasted three days and only four periods a year. Yes when u first start taking it u do have some breakthrough bleeding which is annoying but stick with it because once ur over that is great. Now I&#039;m back on it and my periods last a max of two days. I love it and so much less pain from endometriosis"""
Fluticasone / vilanterol,"Asthma, Maintenance","""Extreme dry mouth, frequent urination, continued thirst"""
Acetaminophen / propoxyphene,Pain,"""I have taken this for headaches, tooth pain, and back pain. I get severe headaches and horrendous stomach aches and acid reflux from this."""
Phentermine,Obesity,"""10 weeks - 50lbs down - BMI 40 to 32

First two weeks, side effects were CrAzY, almost quit.  Now outside of my mouth and regular profuse sweating, all is well.  Doing a very low calorie low fat diet with raquetball 3 days a week.

Hit a plateau, incorporating weights now.  40lbs to go."""
Venlafaxine,Major Depressive Disorde,"""The generic versions are inconsistent so I have stuck to the original Effexor 150mg and also the Sandoz equivalent. It&#039;s a very good treatment for depression and also alleviates the symptoms of ADHD to some degree. Assume it&#039;s the effect of the anti anxiety that helps me get my work done. I tried to &quot;fool&quot; the meds by consciously thinking about depression and the sad thoughts disappeared quickly so it has a very strong and positive effect on my life."""
Belviq,Weight Loss,"""The whole point of Belviq is that it is supposed to suppress one&#039;s appetite. Of course to really lose more weight everything you wrote factors in. You missed the point with many reviewers.....Belviq is not suppressing their appetite, like &quot;oh, I have to make myself eat&quot;, etc. 
That said, I have been on Belviq for 3 days. I take 10mg x 2 a day. I have not noticed a decrease in appetite at all. I&#039;m still hungry in the am and pm. Bummer. No side effects either. I started at 177 lbs and just wishing my appetite would relax where I could say &quot;oh, I have to make myself eat&quot;.
Also, I printed up the coupon from Belviq.com and paid $85.00 instead of $257.00."""
Olanzapine,Schizoaffective Disorde,"""It worked very well and even boosted my mood. That is, until I had a seizure. The doctors presumed it was caused by this medication"""
Isotretinoin,Acne,"""I had gone through years, the most depressing and humiliating years because of having such bad acne with unbelievably oily skin, starting when I was in the Fifth grade! By seventh grade, it covered my whole face, chest, back. I&#039;d gone to the dermatologist and had been prescribed everything, from every antibiotic, to every topical solution, a vitamin A drink. Finally, years later I finally found a doctor who gave me Accutane. The Only thing that Cleared this all! I never had any bad reactions at All from it. This medicine saved my life really and my self esteem. Thank God I for it, and the doctor who had prescribed it for me!"""
Carisoprodol,Muscle Spasm,"""I find that Soma helps calm my nerves down and helps with my
arthritis pain. I believe it lowers my blood pressure as well. Drinking can be very dangerous with this medication."""
Zoloft,Major Depressive Disorde,"""Week 1 and  2 was hell. Week 3 and 4 was a bit better but still hell. I could not function really and I was thinking about death with some insomnia. No appetite that I lost 15 lbs. Beginning of Week 5 I felt the transition in a few hours. I put on the pants and went outside and bought a burger. I was just OK with being and I felt a transformation. I also started Bupropin for smoking a few days ago."""
Acetaminophen / butalbital / caffeine / codeine,Headache,"""Best ever. I can&#039;t take if I&#039;m going to work however, as it makes it difficult to concentrate."""
Latuda,Bipolar Disorde,"""Horrible medication! It caused me to have medication induced akathesia! I experienced extreme restlessness and uncontrollable tics in my mouth. My legs would continue to jump up and down while sitting! My psychiatrist initially placed me on propranolol to stop these side effects and worked initially. Then, he had to increase the dosage because it came back. Eventually, he had to take me off propranolol and place me on cogentin (Benzotropine mesylate). Cogentin is used for Parkinson&rsquo;s disease. That&rsquo;s how bad it got! Never again!"""
Desvenlafaxine,Depression,"""This medication has been a lifesaver!  I have been on it for almost 3 weeks and I am amazed at how much better I feel.  I suffered a breakdown just after Thanksgiving and continued to be an utter disaster for a few weeks...I entered a PHP program where the Psych suggested Pristiq, something I had been asking my Primary Psych for months!  After about 4-5 days, I began to feel somewhat whole again and I&#039;m getting better each day.  I still have my ups and downs but I&#039;m now able to get out of bed and shower everyday!  The only reason I did not give a 10 is because of some undesirable side effects such as, nausea and very dry mouth.  I am told that by 4-6 weeks this should go away."""
Lo Loestrin Fe,Birth Control,"""I took this birth control for a few years and it allowed me to predict my period to the time and day I was supposed to have it, but it made my PMS worse than ever. Great to take if you don&#039;t have much pain to begin with."""
Sominex,Insomnia,"""Sominex is a great mild sedative. Although it does have a bit fo a hangover effect in the morning, this typically only lasts an hour or so. I&#039;ve been taking this stuff nightly for about a week and it&#039;s the best over the counter stuff you can get for sleep."""
Lexapro,Generalized Anxiety Disorde,"""The time I been on lexapro I had mild side effects like yawning and insomnia really bad to the point I am only sleeping five hours or so...I can say it calms you but I haven&#039;t got the full effect of getting back to my old self again..."""
TriNessa,Acne,"""I love this birth control. I&#039;ve been on the pill for about 6 months and I still have NO Side effects, well I do eat alot. I&#039;m now 159 lbs but that&#039;s okay. I got on this pill for birth control but mainly for acne, and it works so great. It gets worse before it gets better, I recommend this pill for everybody. Try it."""
Levonorgestrel,Birth Control,"""So I&#039;ve had the Marina for 6 years and I&#039;m 24. I used to have heavy bleeding and tried absolutely everything the rod, injections the pill you name it I have tried it.... this is the best thing I have ever had I was under when I first got it out in. A year ago I got it done again I have never had kids and yes it was a bit painful but nothing that I couldn&#039;t handle! Honestly couldn&#039;t give this a better wrap hardly any bleeding maybe every couple months I spot for a day or two no acne, weight gain or cramps. I feel a lot of women need to figure this out for themselves as every body is different and yes you may get side effects but the first 6 months it&#039;s getting used to your body so you just need to give it time to adjust to you."""
Accutane,Acne,"""​Hello everyone,

I&#039;m your typical 18 year old lad and have never written on a forum before but I want to write something for the people that are worried about taking this (in my opinion) miracle drug. I am coming to the end of my 6 month course and I can honestly say it&#039;s been life changing. 

Before I started Roaccutane, I was fairly depressed and seriously lacking confidence due to my appearance. But after months of failed treatments on various antibiotics, I was referred to a dermatologist who instantly said there&#039;s only one way to fix my acne problem, Roaccutane. At first I thought this is the worst case scenario and I&#039;m going to be even more depressed as a result of the possible mental health side affects. Depression has run in my family so I was very worried. However, living like with acne wasn&#039;t something I was prepared to do, so I started the course on 40mg a day.

The first week I had a headache daily, but thankfully these die off after a week and paracetamol and ibuprofen will take all the pain away. Almost immediately, my lips were cracking and from then on in, I never went anywhere without some Carmex lip balm in my pocket.

As the first 3 months went by, I was still breaking out and was starting to think it isn&#039;t going to work. However, I&#039;m so glad I stuck with it because now I haven&#039;t got a single spot of my face and the scars have faded to the point where you can barely see them! After the third month, my derm upped my dose and I started to take 60mg a day. 

Luckily for me I hadn&#039;t had any serious side affects. Just your occasional nose bleed and dry skin, and sometimes my eyes were a bit blurry but it&#039;s not much of an issue.

Anyway, I just want anyone reading this that is worried about starting this medication, that not everyone has a horror story about Roaccutane and I couldn&#039;t be happier at how it&#039;s made me feel!!

Don&#039;t let acne take over your life!:)"""
Lyrica,Pain,"""Side effects like extreme fatigue and shortness of breath limited my dosage which limited the drug&#039;s effectiveness at pain relief."""
Depo-Provera,Abnormal Uterine Bleeding,"""I only had one shot. It lasts 3 months. During those months I got my period the first month &amp; not the other two. Now I came down to Trinidad on vacation before I was able to get my second shot. Now I&#039;ve been bleeding for 3 months STRAIGHT. I know this is abnormal. I have the worst cramps, &amp; my whole body hurts. """
Testosterone,"Hypogonadism, Male","""34 YOM Began 1 tube of generic testim 6 months ago for T levels around 100, insurance would not cover pump. After approx 1 week, I broke out in a rash, however kept using and after 1-2 weeks, rash cleared up. 
     Yes, it is a process to apply it in the morning, albeit a maybe 5 minute process. The best advice is to USE rubber medical gloves to apply, otherwise it is a complete mess to clean up, and USE a metal tube key to get the last 25% out of the tube. Rub it on until it begins drying,(30 seconds maybe) wait a couple minutes to put a t shirt on, and do your thing. I haven&#039;t noticed really any smell at all, certainly not bothersome. I do not have recent lab results, so I will not attest to its efficacy,I just want to share my tips."""
Ledipasvir / sofosbuvir,Hepatitis C,"""Today is the sixth day of taking Harvoni. I have had Hep C for over 30 years, I am sure from  my wild days and sharing needles. 
I feel like something must be wrong with me. I am reading all of the other reviews and everyone is reporting no or little side effects. I have been on this for six days, the first few days were a breeze, but, the last few... I am experiencing, diarrhea, nausea, I am so fatigued, I can barely get out of bed. I am weak and dizzy. None of these will make me quit taking the medicine, but, I wonder how I will be able to do this for 12 weeks. I really don&#039;t have a choice, my numbers jumped from 4,000,000 to 10,000,000 and have cirrhosis. 
I hope I get to the part where I feel better and more energetic than before soon!"""
Disulfiram,Alcohol Dependence,"""I suffer from depression and anxiety, and want to drink to get relief.  I didn&#039;t find the help I needed in AA, and truthfully, always knew that drinking was an option, so I would drive myself crazy...to drink, to resist drinking, and on and on.

So, I have been getting help through a psychiatrist, a therapist, and a depression educational support group, and am learning new ways to cope for my depression and anxiety.  Taking Antabuse helps me resist the urge to take the alcohol way out of my discomfort, and use my new tools.

I have been taking Antabuse for 10 days now.  I take it at night and it helps me sleep better.  I have no other side effects, and I&#039;ve eaten Vineagrette dressing and Catsup with no problems."""
Lorcaserin,Weight Loss,"""I have only been on Belvig for 1 week and I have lost 6 lbs but in addition I have cut back on soda 99%, cut out 100% of fast food, and cut my general food intake. I have experienced zero side effects which is a big reason for the high score along with the initial weight loss. I purchased Belvig with the Belvig savings card bring the cost from about 275 to 75.

I think I will update/re review at the 3 month mark."""
Tretinoin,Acne,"""I had really bad acne and I would get made fun of but when my doctor gave me tretinoin gel 0.025 my face to this day is so much better my confidence is better I like looking at my self in the mirror I feel better this is such an amazing medicating!"""
Azithromycin,Tonsillitis/Pharyngitis,"""I was prescribed this along with a steroid pack. I&#039;m on my fourth day and I will admit I feel a little better. Although it still doesn&#039;t look so great, I still have 2 more days. """
Scopolamine,Nausea/Vomiting,"""I have had the scopolamine patch a few times now, but I was given them to control the nausea/vomiting after surgery. First time I had it was Jan 2014 when I had surgery. I took off the patch 3 days later and I ended up in the hospital for uncontrollable vomiting about 24hrs after the patch came off. However me nor the Drs connected it to the patch. November 2014 I had to have emergency surgery. I was given the patch again, 3 days later I took off the patch 48hrs later I was in the ER and admitted that night for uncontrollable nausea/vomiting. Saturday night they put the patch back. I took the patch off Wednesday, now I&#039;m waiting to see what happens. Noticeable side effect, dilated pupils and blurry vision. Huge problem for me."""
Phentermine / topiramate,Weight Loss,"""Hi there, today was my first day on Qsymia, I experienced no appetite, but extreme fatigue. I have slept most of the day. I have a  headache and my eyes feel very heavy. My stomach hurt earlier but is ok now. I&#039;m still very tired and my eyes still feel very heavy. NOT giving up, just getting started. I&#039;m excited and willing to give this a chance."""
Aluminum chloride hexahydrate,Hyperhidrosis,"""I&#039;ve suffered from severe underarm sweat for years, after I had my first baby it only got worse. I have nothing but black shirts in my closet because I was too embarrassed of my sweat stains to wear any colored tops. My first night using Hypercare, was last night and today not one drop of sweat or any smell from my armpits. I feel like a new woman and can&#039;t wait to see it improve even more. I am going shopping soon to get some colored shirts and I can&#039;t wait."""
Clindamycin,Peritonitis,"""I was diagnosed with an Peritonsillar Abscess in the back of my throat on my left side. The medicine is working well as far as I can tell. I haven&#039;t had diarrhea since I was giving the medication but I did forget to not lay down for 10 mins and I never thought I was going to fall asleep last night because I was in so much pain."""
NuvaRing,Birth Control,"""I really enjoy the nuvaring. I cannot take birth control pills because they contain lactose and I am allergic to dairy. The nuvaring is super convenient  and easy to use. If you put it in correctly you&#039;ll never know it is there. I used to faint during my period without the nuvaring - which I don&#039;t now. Also I barely have any cramps with nuvaring and have shorter period. The side effects that I endured with nausea and breast tenderness for the first month. Also I have had some weight gain, and loss of sex drive - but both are minor. The most prominent side effect was breast enlargement - I went from a 32C to a 32DDD."""
Aviane,Birth Control,"""I have been on aviane for three weeks now. I had switched over from the nuvaring because I was having problems with that. I have been feeling nauseous. mood swings? holy crap! I feel like I need to check myself into a mental hospital because I am very sure I might be going crazy. my face has always been clear. never have I had an acne problem. I don&#039;t even use face wash ever. occasional pimple here and there when I have my period, but never major. this birth control has wreaked havoc on my skin. something terrible! I scheduled another gyno appt just to get off this stuff!!! not even one pack in and im begging to get out! I do not recommend this birth control for anyoneeeee!!!!"""
